0: y1-s5, y0-s6, g0-s7, g1-s0, y3-s5, y2-s6, g2-s7, g3-s0, y5-s5, y4-s6, g4-s7, g5-s0, y7-s5, y6-s6, g6-s7, g7-s0, y9-s5, y8-s6, g8-s7, g9-s0, b1-s5, b0-s0, b3-s5, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
799: b5-s3, y0-s4, b3-s5, g7-s1->s2, g3-s2->s1, b8-s3->s1, y9-s4->s2, b1-s5->s3, b0-s0, g4-s1, y2-s1, g5-s2, g6-s1, y4-s1, b2-s1, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, 
800: b3-s5, g4-s1->s0, g7-s1->s2, g3-s2->s1, b8-s3->s1, y9-s4->s2, b1-s5->s3, g6-s1, y2-s1, g5-s2, y4-s1, b2-s1, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, y0-s4, b0-s0, b5-s3->s5, 
801: y9-s4->s2, b1-s5->s3, g6-s1, y0-s4, g4-s1->s0, y2-s1->s2, g3-s2->s1, b5-s3->s5, y4-s1, g5-s2, b2-s1, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s0, g7-s2, b3-s5, 
802: b0-s0->s1, g4-s1->s0, y2-s1->s2, g7-s2->s7, b5-s3->s5, y4-s1, y9-s2, b3-s5, g6-s1, b2-s1, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, g3-s2->s1, y0-s4, g5-s2, b1-s5->s3, 
803: y4-s1, y9-s2, b3-s5, b0-s0->s1, g4-s1->s0, y2-s1->s2, g3-s2->s1, b5-s3->s5, y0-s4->s6, b2-s1, g6-s1, g5-s2, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b1-s3, g7-s2->s7, 
804: b1-s3->s1, b5-s3->s5, y0-s4->s6, b0-s0->s1, g6-s1->s0, g3-s2->s1, g7-s2->s7, g5-s2, y9-s2, g4-s0, y4-s1, b3-s5, y2-s1->s2, b2-s1, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, 
805: b3-s5, g6-s1->s0, y2-s1->s2, g7-s2->s7, b1-s3->s1, y4-s1, b2-s1, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, g4-s0, g5-s2->s1, b5-s3->s5, y0-s4->s6, y9-s2, 
806: g4-s0, b1-s3->s1, b5-s3->s5, b3-s5->s3, y4-s1, g6-s1->s0, g5-s2->s1, b2-s1, y9-s2, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, y2-s1->s2, g7-s2->s7, y0-s4->s6, 
807: g4-s0, b2-s1, y2-s1->s2, g5-s2->s1, b1-s3->s1, b5-s3->s5, y0-s4->s6, g6-s0, g9-s1, y4-s1, y9-s2, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, g7-s7, b3-s5->s3, 
808: g7-s7->s2, g4-s0, g6-s0, b2-s1, y2-s1->s2, g5-s2->s1, b1-s3->s1, b5-s3->s5, y0-s4->s6, b3-s5->s3, g9-s1, y4-s1, y9-s2, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, 
809: b5-s5, y2-s1->s2, g5-s2->s1, y0-s4->s6, b3-s5->s3, g7-s7->s2, g4-s0, b2-s1, y4-s1, y9-s2, g6-s0, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s3->s1, 
810: y2-s2, b5-s5, b2-s1->s0, y4-s1->s2, g5-s2->s1, y0-s4->s6, b3-s5->s3, g7-s7->s2, g4-s0, g9-s1, y9-s2, g6-s0, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, 
811: y2-s2, b2-s1->s0, y4-s1->s2, g5-s2->s1, y0-s4->s6, b3-s5->s3, g7-s7->s2, y9-s2, g4-s0, g6-s0, g9-s1, b5-s5, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, 
812: g4-s0->s1, b2-s1->s0, g5-s2->s1, b3-s5->s3, g7-s7->s2, g6-s0, y9-s2, y4-s1->s2, b5-s5, y2-s2->s4, y0-s4->s6, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, 
813: g7-s2, b5-s5, y0-s6, g4-s0->s1, y4-s1->s2, y2-s2->s4, g9-s1, y6-s1, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g6-s0, y9-s2->s1, b3-s5->s3, b2-s0, 
814: y6-s1, g7-s2, b5-s5, g4-s0->s1, y4-s1->s2, y2-s2->s4, y0-s6->s4, g6-s0, g8-s1, g9-s1, b2-s0, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, y9-s2->s1, b3-s5->s3, 
815: y0-s6->s4, y6-s1, b3-s3, g8-s1, b4-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, y2-s2->s4, b2-s0, b5-s5, g4-s0->s1, y4-s1->s2, y9-s2->s1, g6-s0, g9-s1, g7-s2, 
816: b2-s0, g6-s0->s1, y0-s6->s4, y4-s1->s2, y9-s2->s1, b3-s3->s1, b5-s5->s3, g8-s1, y2-s4, g9-s1, g7-s2, b4-s1, y6-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, 
817: b2-s0, y2-s4, g6-s0->s1, y4-s1->s2, b3-s3->s1, b5-s5->s3, g8-s1, g9-s1, b4-s1, y6-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, y0-s6->s4, y9-s2->s1, g7-s2, 
818: b5-s5->s3, y0-s6->s4, g8-s1, y2-s4, g6-s0->s1, y4-s1->s2, y9-s2->s1, b4-s1, b2-s0, g9-s1, g7-s2, y5-s1, y6-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, b3-s3->s1, 
819: b2-s0->s1, g8-s1->s0, g9-s1->s2, y9-s2->s1, y2-s4->s6, b5-s5->s3, y0-s6->s4, b4-s1, y6-s1, g7-s2, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, b3-s3->s1, y4-s2, 
820: y9-s2->s1, y2-s4->s6, g7-s2, y0-s6->s4, b3-s3->s1, b5-s5->s3, y4-s2, b2-s0->s1, g9-s1->s2, y6-s1, y5-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, g8-s1->s0, b4-s1, 
821: b3-s3->s1, y2-s4->s6, b5-s5->s3, y0-s6->s4, b2-s0->s1, g9-s1->s2, y6-s1, y5-s1, y4-s2->s4, y8-s1, g8-s1->s0, b7-s1, b4-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, g7-s2->s1, 
822: g9-s1->s2, y4-s2->s4, y0-s6->s4, y5-s1, y6-s1, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g8-s0, b4-s1->s0, g7-s2->s1, y2-s4->s6, b5-s5->s3, 
823: g9-s1->s2, y6-s1, g8-s0, y4-s2->s4, y2-s4->s6, y5-s1, b4-s1->s0, y8-s1, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, y0-s6->s4, g7-s2->s1, b5-s5->s3, 
824: y0-s4, g7-s2->s1, b5-s5->s3, g8-s0, y8-s1, b4-s1->s0, g9-s1->s2, y5-s1->s5, y4-s2->s4, y2-s4->s6, b7-s1, y6-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, 
825: b5-s3, y2-s4->s6, g8-s0, y8-s1, b4-s0, b7-s1, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g9-s1->s2, y6-s1, g7-s2->s1, y5-s1->s5, y0-s4, y4-s4, 
826: g9-s1->s2, g7-s2->s1, y0-s4->s2, y2-s4->s6, b7-s1, b5-s3, y6-s1, y1-s1, y8-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g8-s0, y4-s4, b4-s0, y5-s5, 
827: b7-s1, g9-s2, b5-s3, y6-s1->s2, y0-s4->s2, y2-s4->s6, g8-s0, y1-s1, y8-s1, b4-s0, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, y5-s5, g7-s2->s1, y4-s4, 
828: g7-s2->s1, g9-s2->s7, y2-s4->s6, y5-s5->s1, b7-s1, y4-s4, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g8-s0, y6-s1->s2, b5-s3->s1, b4-s0, y8-s1, y0-s4->s2, 
829: b5-s3->s1, y0-s4->s2, b7-s1, y4-s4, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, b4-s0, y2-s6, g8-s0->s1, y6-s1->s2, g9-s2->s7, y5-s5->s1, y8-s1, 
830: b5-s3->s1, y4-s4->s6, b7-s1, g8-s0->s1, y6-s1->s2, y1-s1, y8-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, b4-s0, y2-s6, y0-s2, g9-s2->s7, 
831: b5-s3->s1, y4-s4->s6, y2-s6->s4, y1-s1, y0-s2->s1, g9-s2->s7, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, y6-s1->s2, y8-s1, g8-s0->s1, b7-s1->s3, b4-s0, 
832: b7-s1->s3, y4-s4->s6, y2-s6->s4, b4-s0->s1, y1-s1, y6-s1->s2, y0-s2->s1, g9-s2->s7, b5-s3->s1, b6-s1, y8-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, 
833: g9-s7, b4-s0->s1, y6-s1->s2, b5-s3->s1, y4-s4->s6, y2-s6->s4, y1-s1, y8-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, y0-s2->s1, b7-s1->s3, 
834: y0-s2->s1, y4-s4->s6, y2-s6->s4, y1-s1, b4-s0->s1, y6-s1->s2, b6-s1, y8-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b7-s1->s3, g9-s7->s2, 
835: y8-s1->s2, b7-s1->s3, y4-s4->s6, g9-s7->s2, y1-s1, b6-s1, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y6-s2, y2-s6->s4, y0-s2->s1, 
836: y4-s4->s6, g9-s7->s2, y6-s2, y2-s6->s4, b6-s1, y8-s1->s2, b7-s1->s3, y0-s2->s1, g0-s1, y1-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, 
837: b7-s3, y6-s2->s4, y4-s4->s6, y2-s6->s4, g9-s7->s2, y8-s1->s2, g0-s1, b6-s1->s0, y1-s1, y0-s2->s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, 
838: y8-s1->s2, b7-s3->s5, y4-s4->s6, g9-s7->s2, y1-s1, y2-s6->s4, y0-s2->s1, y6-s2->s4, g0-s1, b6-s1->s0, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, 
839: y2-s6->s4, g9-s2, b6-s1->s0, y6-s2->s4, b7-s3->s5, y4-s4->s6, g0-s1, g1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, y8-s1->s2, y1-s1, 
840: y6-s2->s4, b7-s3->s5, y2-s6->s4, b6-s0, y4-s6, y8-s1->s2, y1-s1, g0-s1, g1-s1, g9-s2, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, 
841: b6-s0->s1, b7-s3->s5, y4-s6, g0-s1, y2-s4, y8-s1->s2, g9-s2->s1, g1-s1, y6-s4, y1-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, 
842: b6-s0->s1, y8-s1->s2, g9-s2->s1, b7-s3->s5, y1-s1, g0-s1, y4-s6, g1-s1, y2-s4, g2-s1, y6-s4, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, 
843: y2-s4, b6-s0->s1, g1-s1->s0, y8-s1->s2, g9-s2->s1, b7-s3->s5, y4-s6->s4, y6-s4, y1-s1, g0-s1, g2-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, 
844: y8-s2, y2-s4, g1-s1->s0, y1-s1->s2, g9-s2->s1, b7-s3->s5, y4-s6->s4, g2-s1, y6-s4, g0-s1, y3-s1, b9-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, 
845: g1-s1->s0, y1-s1->s2, g9-s2->s1, b7-s3->s5, y4-s6->s4, y3-s1, g0-s1, b9-s1, g2-s1, y7-s1, b8-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, y8-s2, y2-s4, y6-s4, 
846: y1-s1->s2, y8-s2->s4, y4-s6->s4, b9-s1, g0-s1, y7-s1, g2-s1, b8-s1, y3-s1, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g1-s0, y2-s4, g9-s2->s1, b7-s3->s5, y6-s4, 
847: b7-s5, y1-s1->s2, b9-s1->s3, g9-s2->s1, y8-s2->s4, y4-s6->s4, g1-s0, y7-s1, y2-s4, g0-s1, b8-s1, y6-s4, g2-s1, b0-s1, y3-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, 
848: y6-s4, g9-s2->s1, y4-s6->s4, g1-s0, b8-s1, b7-s5, y1-s1->s2, b9-s1->s3, y7-s1->s5, y8-s2->s4, y2-s4->s2, b0-s1, g0-s1, g3-s1, g2-s1, b1-s1, y3-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, 
849: y1-s1->s2, b9-s1->s3, y2-s4->s2, y4-s6->s4, g0-s1, g2-s1, y3-s1, g1-s0, b7-s5, y7-s1->s5, y8-s2->s4, b8-s1, y6-s4, b0-s1, g3-s1, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, 
850: y6-s4, b7-s5, b8-s1->s0, y1-s1->s2, b9-s1->s3, y2-s4->s2, y4-s6->s4, g1-s0, b0-s1, y8-s4, y7-s5, g0-s1, g3-s1, g2-s1, b1-s1, y3-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, 
851: y8-s4, b8-s1->s0, y1-s1->s2, b9-s1->s3, y2-s4->s2, y6-s4->s6, g1-s0, b0-s1, g0-s1, g3-s1, g2-s1, b1-s1, y3-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, b7-s5, y7-s5, y4-s6->s4, 
852: g1-s0, b0-s1, b8-s1->s0, b9-s1->s3, y6-s4->s6, y4-s6->s4, g3-s1, y8-s4, b1-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, y1-s1->s2, g0-s1, g2-s1, y3-s1, b7-s5, y2-s2, y7-s5, 
853: g1-s0->s1, g0-s1->s2, y6-s4->s6, g3-s1, g2-s1, y8-s4, b1-s1, y3-s1, g5-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, b9-s1->s3, b0-s1, b8-s0, y2-s2, y4-s4, b7-s5, y1-s2, y7-s5, 
854: g3-s1->s0, b0-s1->s3, y2-s2->s1, y6-s4->s6, b9-s3, y7-s5, y8-s4, y4-s4, b8-s0, b7-s5->s3, b1-s1, y1-s2, g1-s0->s1, g0-s1->s2, g5-s1, g2-s1, g4-s1, y3-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, 
855: y7-s5, g1-s0->s1, g3-s1->s0, g0-s1->s2, b0-s1->s3, y2-s2->s1, y1-s2->s4, b9-s3->s5, y6-s4->s6, b7-s5->s3, b1-s1, b8-s0, g2-s1, y8-s4, g5-s1, y3-s1, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, y4-s4, 
856: b8-s0->s1, g3-s1->s0, b0-s1->s3, b9-s3->s5, b7-s5->s3, b1-s1, y2-s2->s1, y6-s4->s6, y8-s4, g0-s1->s2, g5-s1, y4-s4, g2-s1, g4-s1, y3-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, y7-s5, y1-s2->s4, 
857: y6-s4->s6, y7-s5->s1, g0-s1->s2, y1-s2->s4, y8-s4, g2-s1, y3-s1, b7-s5->s3, g3-s0, b0-s1->s3, y2-s2->s1, b9-s3->s5, g5-s1, y4-s4, b8-s0->s1, b1-s1->s0, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, 
858: b8-s0->s1, b1-s1->s0, g0-s1->s2, b0-s1->s3, y2-s2->s1, y1-s2->s4, b9-s3->s5, y4-s4->s2, y6-s4->s6, y7-s5->s1, b7-s5->s3, g3-s0, g5-s1, g2-s1, y8-s4, g4-s1, y3-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, 
859: b1-s1->s0, g0-s1->s2, b0-s1->s3, y2-s2->s1, b9-s3->s5, y4-s4->s2, y6-s4->s6, b7-s5->s3, g3-s0, g5-s1, g2-s1, y8-s4, g4-s1, y3-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, b8-s1, y7-s1, y1-s4, 
860: g0-s1->s2, b9-s3->s5, y4-s4->s2, y6-s4->s6, b7-s5->s3, g3-s0, g5-s1, g2-s1, y8-s4, b1-s0, g4-s1, y3-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, b8-s1, y7-s1, y2-s2->s1, b0-s3, y1-s4, 
861: y4-s4->s2, g3-s0, g5-s1->s0, g2-s1->s2, y2-s2->s1, b9-s3->s5, y6-s4->s6, b7-s5->s3, b1-s0, g4-s1, g0-s2, b0-s3, y1-s4, y3-s1, y8-s4, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, b8-s1, y7-s1, 
862: g5-s1->s0, g3-s0, y4-s2, b0-s3, y1-s4, y6-s6, g2-s1->s2, g0-s2->s7, b9-s3->s5, y8-s4->s6, b7-s5->s3, b1-s0, g6-s1, y3-s1, y9-s1, g4-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, b8-s1, y7-s1, y2-s1, 
863: y4-s2, b7-s3, y1-s4, g3-s0->s1, g5-s1->s0, g2-s1->s2, g0-s2->s7, b9-s3->s5, y8-s4->s6, y6-s6->s4, b1-s0, y3-s1, b0-s3, g4-s1, g6-s1, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, b8-s1, y7-s1, y2-s1, 
864: y1-s4, g3-s0->s1, g2-s1->s2, y4-s2->s1, g0-s2->s7, b7-s3->s1, b9-s3->s5, y8-s4->s6, y6-s6->s4, b1-s0, g6-s1, y3-s1, b0-s3, g5-s0, y9-s1, g4-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, b8-s1, y7-s1, y2-s1, 
865: y1-s4, b9-s5, g3-s0->s1, g2-s1->s2, y4-s2->s1, g0-s2->s7, b7-s3->s1, b0-s3->s5, y6-s6->s4, b1-s0, y3-s1, g5-s0, g4-s1, g6-s1, y8-s4->s6, y9-s1, b2-s1, b3-s1, g7-s1, y5-s1, g8-s1, b5-s1, b4-s1, y0-s1, b6-s1, g9-s1, g1-s1, b8-s1, y7-s1, y2-s1, 
